id,title,runtime,year,advertiser,products,mood,video_url,animals,characters
1900329,"Latuda TV Commercial, 'Lauren's Story'",60,2018,Latuda,Latuda,Informational,https://d3npuic909260z.cloudfront.net/001/900/329/dze4.mp4,,
1986050,"NUPLAZID TV Commercial, 'Seeing Things'",60,2018,NUPLAZID,NUPLAZID,Informational,https://d3npuic909260z.cloudfront.net/001/986/050/dvSu.mp4,Dogs,
2077022,"VRAYLAR TV Commercial, 'Online Shopping'",60,2018,VRAYLAR,VRAYLAR,Informational,https://d3npuic909260z.cloudfront.net/002/077/022/I66u.mp4,,
2098645,"REXULTI TV Commercial, 'Good Works Kitchen'",90,2019,REXULTI,REXULTI,Informational,https://d3npuic909260z.cloudfront.net/002/098/645/ISJ8.mp4,,
2188167,"REXULTI TV Commercial, 'Something Had to Change'",90,2019,REXULTI,REXULTI,Informational,https://d3npuic909260z.cloudfront.net/002/188/167/IJ6m.mp4,Dogs,
2276235,"TRINTELLIX TV Commercial, 'Dirty Laundry'",60,2018,TRINTELLIX,TRINTELLIX,Informational,https://d3npuic909260z.cloudfront.net/002/276/235/owRX.mp4,,
2336367,"VRAYLAR TV Commercial, 'Too Much to Do'",60,2019,VRAYLAR,VRAYLAR,Active,https://d3npuic909260z.cloudfront.net/002/336/367/oTWt.mp4,,
2337717,"REXULTI TV Commercial, 'Something Had to Change: $15 Refill'",90,2019,REXULTI,REXULTI,Informational,https://d3npuic909260z.cloudfront.net/002/337/717/oT9s.mp4,Dogs,
2351986,"VRAYLAR TV Commercial, 'Unfinished Projects'",60,2019,VRAYLAR,VRAYLAR,Active,https://d3npuic909260z.cloudfront.net/002/351/986/oGzd.mp4,,
2420819,"VRAYLAR TV Commercial, 'Elevator'",60,2019,VRAYLAR,VRAYLAR,Active,https://d3npuic909260z.cloudfront.net/002/420/819/o_PH.mp4,,
2451944,"Latuda TV Commercial, 'Lauren's Story: My Mom Is Sad'",60,2019,Latuda,Latuda,Active,https://d3npuic909260z.cloudfront.net/002/451/944/oiaJ.mp4,,
2463787,"VRAYLAR TV Commercial, 'Roller Coaster'",60,2019,VRAYLAR,VRAYLAR,Active,https://d3npuic909260z.cloudfront.net/002/463/787/ohJx.mp4,,
2575037,"TRINTELLIX TV Commercial, 'Time for a Change'",60,2019,TRINTELLIX,TRINTELLIX,Informational,https://d3npuic909260z.cloudfront.net/002/575/037/Z5eu.mp4,,
2663226,"REXULTI TV Commercial, 'I'm Fine'",60,2020,REXULTI,REXULTI,Active,https://d3npuic909260z.cloudfront.net/002/663/226/ZWVp.mp4,,
2673930,"TRINTELLIX TV Commercial, 'Time for a Change: Vet'",60,2019,TRINTELLIX,TRINTELLIX,Informational,https://d3npuic909260z.cloudfront.net/002/673/930/ZFHT.mp4,,
2737217,"REXULTI TV Commercial, 'These Days'",60,2020,REXULTI,REXULTI,Active,https://d3npuic909260z.cloudfront.net/002/737/217/ZvEc.mp4,,
2767009,"VRAYLAR TV Commercial, 'Rough Waters'",60,2020,VRAYLAR,VRAYLAR,Active,https://d3npuic909260z.cloudfront.net/002/767/009/n7oe.mp4,,
2775369,"Latuda TV Commercial, 'Lauren's Story: Here for You'",60,2020,Latuda,Latuda,Informational,https://d3npuic909260z.cloudfront.net/002/775/369/nw2l.mp4,,Kids
2794738,"VRAYLAR TV Commercial, 'Carousel'",60,2020,VRAYLAR,VRAYLAR,Active,https://d3npuic909260z.cloudfront.net/002/794/738/nnIP.mp4,,Kids
2844520,"REXULTI TV Commercial, 'I'm Fine: Savings Card'",60,2020,REXULTI,REXULTI,Active,https://d3npuic909260z.cloudfront.net/002/844/520/ngFd.mp4,,
2844899,"REXULTI TV Commercial, 'These Days: Savings Card Benefits'",60,2020,REXULTI,REXULTI,Active,https://d3npuic909260z.cloudfront.net/002/844/899/ngeI.mp4,,
2847221,"TRINTELLIX TV Commercial, 'Time for a Change: May Be Able to Help'",60,2020,TRINTELLIX,TRINTELLIX,Informational,https://d3npuic909260z.cloudfront.net/002/847/221/nSB9.mp4,,
2869748,"Fanapt TV Commercial, 'Living With Schizophrenia'",60,2020,Fanapt,Fanapt,Active,https://d3npuic909260z.cloudfront.net/002/869/748/nlLC.mp4,,
2870463,"Fanapt TV Commercial, 'How Are You?'",60,2020,Fanapt,Fanapt,Active,https://d3npuic909260z.cloudfront.net/002/870/463/nlO0.mp4,,
