id,title,runtime,year,advertiser,products,mood,video_url,animals,characters,category
1717691,"Viberzi TV Commercial, 'Airport'",60,2018,Viberzi,Viberzi,Informational,https://d3npuic909260z.cloudfront.net/001/717/691/wQav.mp4,,,bladder
1722700,"Myrbetriq TV Commercial, 'Enough Is Enough'",60,2018,Myrbetriq,Myrbetriq,Informational,https://d3npuic909260z.cloudfront.net/001/722/700/wcLD.mp4,,,bladder
1732213,"Linzess TV Commercial, 'Yes'",60,2018,Linzess,Linzess,Informational,https://d3npuic909260z.cloudfront.net/001/732/213/wPpD.mp4,Dogs,,bladder
1781138,"Linzess TV Commercial, 'Yes: Errands'",60,2018,Linzess,Linzess,Active,https://d3npuic909260z.cloudfront.net/001/781/138/ddaL.mp4,,,bladder
1801708,"HUMIRA TV Commercial, 'Keep Us Apart'",60,2018,HUMIRA [Crohn's/Colitis],HUMIRA [Crohn's/Colitis],Informational,https://d3npuic909260z.cloudfront.net/001/801/708/dtvM.mp4,,,bladder
1815231,"Stelara (Crohn's Disease) TV Commercial, 'Unpredictable Symptoms'",60,2018,Stelara (Crohn's Disease),Stelara (Crohn's Disease) Stelara,Active,https://d3npuic909260z.cloudfront.net/001/815/231/d2Bt.mp4,,,bladder
1815237,"HUMIRA TV Commercial, 'Not Always Where I Needed to Be'",60,2018,HUMIRA [Crohn's/Colitis],HUMIRA [Crohn's/Colitis],Active,https://d3npuic909260z.cloudfront.net/001/815/237/d2B5.mp4,,,bladder
1856337,"Linzess TV Commercial, 'Yes: Travel'",60,2018,Linzess,Linzess,Informational,https://d3npuic909260z.cloudfront.net/001/856/337/dKH_.mp4,,,bladder
1876476,"Myrbetriq TV Commercial, 'Dancing With the Stars Sweepstakes' Feat. Laila Ali",15,2018,Myrbetriq,Myrbetriq,Active,https://d3npuic909260z.cloudfront.net/001/876/476/dReT.mp4,,,bladder
2074335,"HUMIRA TV Commercial, 'Basketball Game'",60,2018,HUMIRA [Crohn's/Colitis],HUMIRA [Crohn's/Colitis],Informational,https://d3npuic909260z.cloudfront.net/002/074/335/I5s4.mp4,,,bladder
2196771,"Linzess TV Commercial, 'Do It All'",60,2019,Linzess,Linzess,Informational,https://d3npuic909260z.cloudfront.net/002/196/771/IelS.mp4,,,bladder
2203362,"ENTYVIO TV Commercial, 'Are Your Symptoms Holding You Back?'",60,2017,ENTYVIO,ENTYVIO,Informational,https://d3npuic909260z.cloudfront.net/002/203/362/ImoV.mp4,,,bladder
2238780,"ENTYVIO TV Commercial, 'Your Plan Can Change in Minutes: Chef'",60,2019,ENTYVIO,ENTYVIO,Active,https://d3npuic909260z.cloudfront.net/002/238/780/I47t.mp4,,,bladder
2284109,"Myrbetriq TV Commercial, 'Vacation'",60,2019,Myrbetriq,Myrbetriq,Informational,https://d3npuic909260z.cloudfront.net/002/284/109/oIlH.mp4,,,bladder
2360131,"ENTYVIO TV Commercial, 'Your Plans Can Change in Minutes'",60,2019,ENTYVIO,ENTYVIO,Informational,https://d3npuic909260z.cloudfront.net/002/360/131/opEG.mp4,,,bladder
2433241,"Linzess TV Commercial, 'Doing It All: Month After Month'",60,2019,Linzess,Linzess,Active,https://d3npuic909260z.cloudfront.net/002/433/241/oxY3.mp4,,,bladder
2664988,"HUMIRA TV Commercial, 'Baseball Game'",60,2020,HUMIRA [Crohn's/Colitis],HUMIRA [Crohn's/Colitis],Active,https://d3npuic909260z.cloudfront.net/002/664/988/ZWDG.mp4,,Kids,bladder
2687134,"HUMIRA TV Commercial, 'Girl's Trip'",60,2020,HUMIRA [Crohn's/Colitis],HUMIRA [Crohn's/Colitis],Active,https://d3npuic909260z.cloudfront.net/002/687/134/ZJkP.mp4,,,bladder
2763407,"Linzess TV Commercial, 'Yes: Normal'",60,2020,Linzess,Linzess,Active,https://d3npuic909260z.cloudfront.net/002/763/407/nYbu.mp4,Horses,Kids,bladder
2781717,"HUMIRA TV Commercial, 'Girl's Trip: May Be Able to Help'",60,2020,HUMIRA [Crohn's/Colitis],HUMIRA [Crohn's/Colitis],Active,https://d3npuic909260z.cloudfront.net/002/781/717/ndQb.mp4,,,bladder
2793699,"HUMIRA TV Commercial, 'Baseball Game: May Be Able to Help'",60,2020,HUMIRA [Crohn's/Colitis],HUMIRA [Crohn's/Colitis],Active,https://d3npuic909260z.cloudfront.net/002/793/699/nZ3p.mp4,,Kids,bladder
2841541,"Stelara (Crohn's Disease) TV Commercial, 'Unpredictable Symptoms: May Be Able to Help'",45,2020,Stelara (Crohn's Disease),Stelara (Crohn's Disease) Stelara,Active,https://d3npuic909260z.cloudfront.net/002/841/541/nBP8.mp4,,,bladder
2875741,"Stelara (Crohn's Disease) TV Commercial, 'Enough: May Be Able to Help'",45,2020,Stelara (Crohn's Disease),Stelara (Crohn's Disease) Stelara,Informational,https://d3npuic909260z.cloudfront.net/002/875/741/nRMF.mp4,,,bladder
2875762,"ENTYVIO TV Commercial, 'When Your Symptoms Say: Not Today'",60,2020,ENTYVIO,ENTYVIO,Informational,https://d3npuic909260z.cloudfront.net/002/875/762/nRCk.mp4,,,bladder
2876334,"Adyen TV Commercial, 'Make Purchasing Easier'",15,2020,Adyen,Adyen Adyen Payments Platform,Active,https://d3npuic909260z.cloudfront.net/002/876/334/nRHw.mp4,,,bus
2876845,"U.S. Bank TV Commercial, 'Inspired Pursuits'",30,2020,U.S. Bank,,Active,https://d3npuic909260z.cloudfront.net/002/876/845/nR8O.mp4,,,bus
2876934,"ExpressVPN TV Commercial, 'Protect Your Online Privacy'",30,2020,ExpressVPN,ExpressVPN Annual Subscription,Funny,https://d3npuic909260z.cloudfront.net/002/876/934/nRhs.mp4,,,bus
